dataset         langford-frontend   langford-backend    langford-cache  hlearn-frontend hlearn-backend  hlearn-cache    mlpack-frontend mlpack-backend  mlpack-cache    nopack-frontend nopack-backend  nopack-cache
yearpredict     77.41               40.84               91.851          47.16           26.52           45.604          82.24           67.25           90.162          48.12           29.80           43.747
twitter         77.81               54.97               84.417          73.97           59.33           79.910          82.33           66.13           88.48           77.45           65.61           88.613
tinyImages      73.67               38.23               96.437          34.64           56.56           68.389          75.43           59.50           92.59           50.39           59.07           74.252
mnist           59.98               48.41               94.580          55.71           44.20           81.554          58.98           42.49           88.013          54.07           66.60           88.217
corel           61.46               50.16               28.991          53.60           72.92           76.119          75.03           67.31           72.169          57.79           72.38           78.570
covtype         74.27               64.02               50.719          43.68           62.27           40.960          50.88           41.13           45.008          70.93           56.08           56.138
artificial40    72.35               67.81               59.257          24.75           47.59           17.716          79.81           70.17           66.842          45.51           62.83           59.263
faces           48.23               33.17               17.661          25              45              5               42.67           32.55           1.731           25              45              5
