dataset         numdp       numdim  nodesorig   orig_train      orig_test       nosort_train    nosort_test sort_train  sort_test   parent_train    parent_test     ancestor_train  ancestor_test  ancestor_train_old
yearpredict     515345      90      589955      26455494        131031322164    27037100        86707936242 425058748   82987736363 888470368       81508249918     118959656       65647938960    4540279578
twitter         583250      78      697490      47263085        30691771945     47945043        21166520338 274256384   12149295303 995896038       18318548188     6593190         12118629982    1245167174
tinyImages      100000      384     102009      4450319         9926443151      4062714         9377821501  139869212   9252011871  52963894        9311709953      25002878        9266676270     387969604
mnist           70000       784     75315       2650713         3916131771      2492545         3556770107  19913980    3141661559  49807344        3268019306      10528847        3101436037     53164698
corel           68040       32      77704       1912370         1027189851      1761991         1067996432  11527328    479708418   19231792        611694351       5321586         407303950      26386626
covtype         581012      55      963004      21034899        6289424508      20397540        2385658458  64924582    2800519063  1585134036      2411299193      23886019        3088723896     1496818220
artificial40    10000       4       10027       391877          100540586       395101          99999837    1362987     99998217    1860976         99999084        1818454         99998137       3584111
faces           10304       20      13238       227462          45519947        238297          19462606    381242      16987759    3906299         20627072        404423          17142731       1373950
